product_id,product_name,gender,category,pattern,color,age_group,season,price,material,sales_count,reviews_count,average_rating,out_of_stock_times,brand,discount,last_stock_date,wish_list_count,month_of_sale,year_of_sale
10101,Summer Blouse,Female,Tops,Floral,Yellow,Adult,Summer,69.99,Cotton,42,35,4.3,1,Balmain,10,2024-07-15,29,7,2024
10102,Autumn Coat,Female,Jackets,Plaid,Red,Adult,Autumn,149.99,Wool,45,38,4.6,0,Marc Jacobs,5,2023-11-15,32,11,2023
10103,Winter Pants,Female,Pants,Faux Leather,Black,Adult,Winter,89.99,Polyester,47,39,4.5,1,Saint Laurent,10,2024-03-15,36,3,2024
10104,Spring Shirt,Female,Tops,Striped,Blue,Teen,Spring,49.99,Cotton,41,33,4.4,0,Alexander McQueen,5,2024-05-15,28,5,2024
10105,Summer Shorts,Female,Bottoms,Gingham,White,Adult,Summer,39.99,Cotton,44,36,4.5,0,Prada,5,2024-09-15,31,9,2024
10106,Autumn Skirt,Female,Skirts,Tartan,Green,Adult,Autumn,99.99,Wool,43,37,4.6,1,Burberry,10,2023-12-15,29,12,2023
10107,Winter Hat,Female,Accessories,Fur,Gray,Adult,Winter,59.99,Wool,46,38,4.4,0,Dior,5,2024-02-15,33,2,2024
10108,Spring Dress,Female,Dresses,Floral,Pink,Teen,Spring,79.99,Silk,49,39,4.5,1,Armani,10,2024-06-15,36,6,2024
10109,Summer Blazer,Female,Jackets,Gingham,Black,Adult,Summer,99.99,Polyester,45,38,4.6,0,Versace,5,2024-08-15,32,8,2024
10110,Autumn Blouse,Female,Tops,Plaid,Red,Adult,Autumn,89.99,Silk,48,39,4.5,1,Louis Vuitton,10,2023-10-15,36,10,2023
10111,Winter Cardigan,Female,Sweaters,Cable Knit,White,Adult,Winter,129.99,Wool,47,38,4.4,0,Valentino,5,2024-01-15,33,1,2024
10112,Spring Jacket,Female,Jackets,Denim,Blue,Teen,Spring,59.99,Cotton,43,37,4.6,1,Calvin Klein,10,2024-04-15,29,4,2024
10113,Summer Dress,Female,Dresses,Stripes,Yellow,Adult,Summer,69.99,Linen,44,36,4.5,0,Miu Miu,5,2024-07-15,31,7,2024
10114,Autumn Trousers,Female,Bottoms,Floral,Brown,Adult,Autumn,79.99,Cotton,43,37,4.6,1,Gucci,10,2023-11-15,29,11,2023
10115,Winter Cardigan,Female,Sweaters,Fair Isle,Red,Adult,Winter,119.99,Wool,46,38,4.4,0,Balenciaga,5,2024-03-15,33,3,2024
10116,Spring Jacket,Female,Jackets,Denim,Green,Teen,Spring,69.99,Cotton,45,38,4.5,0,Chanel,10,2024-05-15,32,5,2024
10117,Summer Skirt,Female,Skirts,Polka Dots,Black,Adult,Summer,59.99,Polyester,44,36,4.5,0,Saint Laurent,5,2024-06-15,31,6,2024
10118,Autumn Top,Female,Tops,Lace,Pink,Adult,Autumn,89.99,Silk,43,37,4.6,1,Alexander McQueen,10,2023-12-15,29,12,2023
10119,Winter Boots,Female,Shoes,Fur,White,Adult,Winter,159.99,Leather,47,38,4.4,0,Ralph Lauren,5,2024-02-15,33,2,2024
10120,Spring Pants,Female,Bottoms,Corduroy,Blue,Teen,Spring,49.99,Cotton,43,37,4.6,1,Versace,10,2024-04-15,29,4,2024
10121,Summer Hat,Female,Accessories,Straw,Beige,Adult,Summer,29.99,Straw,44,36,4.5,0,Givenchy,5,2024-08-15,31,8,2024
10122,Autumn Jacket,Female,Jackets,Leather,Burgundy,Adult,Autumn,129.99,Leather,43,37,4.6,1,Dior,10,2023-10-15,29,10,2023
10123,Winter Blouse,Female,Tops,Satin,Gold,Adult,Winter,99.99,Silk,46,38,4.4,0,Fendi,5,2024-01-15,33,1,2024
10124,Spring Coat,Female,Jackets,Tweed,Gray,Adult,Spring,199.99,Wool,45,38,4.5,0,Bottega Veneta,10,2024-06-15,32,6,2024
10125,Summer Dress,Female,Dresses,Floral,Pink,Adult,Summer,69.99,Cotton,44,36,4.5,0,Chanel,5,2024-07-15,31,7,2024
10126,Autumn Skirt,Female,Skirts,Tartan,Red,Adult,Autumn,79.99,Wool,43,37,4.6,1,Gucci,10,2023-11-15,29,11,2023
10127,Winter Jacket,Female,Jackets,Fleece,Green,Adult,Winter,119.99,Polyester,47,38,4.4,0,Prada,5,2024-03-15,33,3,2024
