user_id,item_id,items,gender,category,pattern,color,gender,genre,material,sales_count,reviews_count,rating,out_of_stock_times,brand,discount,last_stock_date,wish_list_count,month_of_sale,year_of_sale
1,1,Summer Blouse,Female,Tops,Floral,Yellow,Adult,Summer,Cotton,42,35,4.3,1,Balmain,10,7/15/2024,29,7,2024
2,2,Autumn Coat,Female,Jackets,Plaid,Red,Adult,Autumn,Wool,45,38,4.6,0,Marc Jacobs,5,11/15/2023,32,11,2023
3,3,Winter Pants,Female,Pants,Faux Leather,Black,Adult,Winter,Polyester,47,39,4.5,1,Saint Laurent,10,3/15/2024,36,3,2024
4,4,Spring Shirt,Female,Tops,Striped,Blue,Teen,Spring,Cotton,41,33,4.4,0,Alexander McQueen,5,5/15/2024,28,5,2024
5,5,Summer Shorts,Female,Bottoms,Gingham,White,Adult,Summer,Cotton,44,36,4.5,0,Prada,5,9/15/2024,31,9,2024
6,6,Autumn Skirt,Female,Skirts,Tartan,Green,Adult,Autumn,Wool,43,37,4.6,1,Burberry,10,12/15/2023,29,12,2023
7,7,Winter Hat,Female,Accessories,Fur,Gray,Adult,Winter,Wool,46,38,4.4,0,Dior,5,2/15/2024,33,2,2024
8,8,Spring Dress,Female,Dresses,Floral,Pink,Teen,Spring,Silk,49,39,4.5,1,Armani,10,6/15/2024,36,6,2024
9,9,Summer Blazer,Female,Jackets,Gingham,Black,Adult,Summer,Polyester,45,38,4.6,0,Versace,5,8/15/2024,32,8,2024
10,10,Autumn Blouse,Female,Tops,Plaid,Red,Adult,Autumn,Silk,48,39,4.5,1,Louis Vuitton,10,10/15/2023,36,10,2023
11,11,Winter Cardigan,Female,Sweaters,Cable Knit,White,Adult,Winter,Wool,47,38,4.4,0,Valentino,5,1/15/2024,33,1,2024
12,12,Spring Jacket,Female,Jackets,Denim,Blue,Teen,Spring,Cotton,43,37,4.6,1,Calvin Klein,10,4/15/2024,29,4,2024
13,13,Summer Dress,Female,Dresses,Stripes,Yellow,Adult,Summer,Linen,44,36,4.5,0,Miu Miu,5,7/15/2024,31,7,2024
14,14,Autumn Trousers,Female,Bottoms,Floral,Brown,Adult,Autumn,Cotton,43,37,4.6,1,Gucci,10,11/15/2023,29,11,2023
15,15,Winter Cardigan,Female,Sweaters,Fair Isle,Red,Adult,Winter,Wool,46,38,4.4,0,Balenciaga,5,3/15/2024,33,3,2024
16,16,Spring Jacket,Female,Jackets,Denim,Green,Teen,Spring,Cotton,45,38,4.5,0,Chanel,10,5/15/2024,32,5,2024
17,17,Summer Skirt,Female,Skirts,Polka Dots,Black,Adult,Summer,Polyester,44,36,4.5,0,Saint Laurent,5,6/15/2024,31,6,2024
18,18,Autumn Top,Female,Tops,Lace,Pink,Adult,Autumn,Silk,43,37,4.6,1,Alexander McQueen,10,12/15/2023,29,12,2023
19,19,Winter Boots,Female,Shoes,Fur,White,Adult,Winter,Leather,47,38,4.4,0,Ralph Lauren,5,2/15/2024,33,2,2024
20,20,Spring Pants,Female,Bottoms,Corduroy,Blue,Teen,Spring,Cotton,43,37,4.6,1,Versace,10,4/15/2024,29,4,2024
